School,Sector,Type,SES,ADII,Metro,d1,d2,d3,d4,d5,parta1_1,parta1_2,parta1_3,parta2_1,parta2_2,parta2_3,parta3_1,parta3_2,parta3_3,parta3_4,parta4_1,parta4_2,parta4_3,parta4_4,parta4_5,parta5_1,parta5_2,parta5_3,parta_total,pre_1,pre_2,post_8_1,post_8_2,ds_data,ds_gateway,ds_reporting,ds_response,ds_climate,ds_total,quadrant_results,descriptor
1,Government,Primary,High,Above Average,Metro,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,13,5,5,6,6,51,45,40,54,63,254,Q3,Building
2,Independent,Combined,High,Above Average,Metro,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,16,7,7,7,7,33,45,43,51,60,233,Q3,Building
3,Government,Primary,Medium,Below Average,Non-metro,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,19,,,,,,,,,,,,
4,Government,Primary,Low,Above Average,Metro,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,20,9,6,6,6,33,50,66,49,70,267,Q3,Building
5,Independent,Secondary,Low,Above Average,Non-metro,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,19,7,9,7,9,80,65,71,80,80,376,Q4,Flourishing
6,Government,Secondary,High,Above Average,Metro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,21,9,9,8,9,59,55,57,66,80,317,Q4,Flourishing
7,Independent,Primary,High,Below Average,Non-metro,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,17,,,,,,,,,,,,
8,Government,Primary,Low,Below Average,Non-metro,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,18,9,8,9,9,68,70,69,60,80,346,Q4,Flourishing
9,Government,Primary,High,Above Average,Non-metro,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,13,6,6,7,7,32,50,66,63,80,291,Q3,Building
10,Government,Secondary,High,Above Average,Metro,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,18,9,9,9,9,68,70,63,80,77,358,Q4,Flourishing
